"","processid","sampleid"
"1","ABINP2493-21","BIOUG66076-D04"
"2","ABINP3311-21","BIOUG66085-A03"
"3","ABINP413-21","BIOUG66055-G04"
"4","AGAKL1885-17","BIOUG32170-C10"
"5","AGAKQ1340-17","BIOUG32603-F08"
"6","AGAKQ1455-17","BIOUG32604-H04"
"7","AGAKQ1471-17","BIOUG32605-A09"
"8","AGAKT1089-17","BIOUG32615-G06"
"9","AGAKT1538-17","BIOUG32634-E04"
"10","ALSTB1806-17","BIOUG36387-D02"
"11","AMCAO518-20","BIOUG55449-F10"
"12","AMCAP484-20","BIOUG55454-E12"
"13","AMCAP530-20","BIOUG55455-A11"
"14","AMCAS395-21","BIOUG66113-B12"
"15","ARGAB3410-19","BIOUG46286-F06"
"16","ARGAB4771-19","BIOUG46329-H08"
"17","ARGAB6596-19","BIOUG46377-H01"
"18","ARGAB7892-19","BIOUG46536-C01"
"19","ARGAB7912-19","BIOUG46536-D09"
"20","ARGAB7937-19","BIOUG46536-F10"
"21","ARGAB8849-19","BIOUG46586-C08"
"22","ARGAB9774-20","BIOUG52194-B11"
"23","ASDMT1502-11","BIOUG01460-A05"
"24","ASDMT1730-11","BIOUG01543-D07"
"25","ASDMT1746-11","BIOUG01543-E11"
"26","ASDMT457-11","BIOUG01406-E01"
"27","ASDMT961-11","BIOUG01423-C10"
"28","AUSCL1401-12","BIOUG02498-D12"
"29","AUSCL1413-12","BIOUG02498-E12"
"30","AUSCL1415-12","BIOUG02498-F02"
"31","AUSCL1427-12","BIOUG02498-G02"
"32","AUSCL1428-12","BIOUG02498-G03"
"33","AUSCL1434-12","BIOUG02498-G09"
"34","AUSCL1437-12","BIOUG02498-G12"
"35","AUSCL1551-12","BIOUG02501-A08"
"36","AUSCL1559-12","BIOUG02501-B04"
"37","AUSCL1567-12","BIOUG02501-B12"
"38","AUSCL1944-12","BIOUG02508-B09"
"39","AUSCL1965-12","BIOUG02508-D06"
"40","AUSCL1994-12","BIOUG02508-F11"
"41","AUSCL1997-12","BIOUG02508-G02"
"42","AUSCL2006-12","BIOUG02508-G11"
"43","BARSC248-16","BARS_2015_20_248"
"44","BARSF144-16","BARS_2015_34_144"
"45","BARSH138-15","BARS_2015_42_138"
"46","BARSM1245-17","BARS_2016_09_015"
"47","BARSM1297-17","BARS_2016_09_093"
"48","BARSM968-17","BARS_2016_20_155"
"49","BARSM970-17","BARS_2016_20_157"
"50","BAYS1595-24","BAYS_014_F8"
"51","BBDEE814-10","09BBEDI-2777"
"52","BBDIV939-12","BIOUG02576-G12"
"53","BNHMG6619-23","NHMG_122_G8"
"54","CNBFC299-15","BIOUG19384-A01"
"55","CNBFC471-15","BIOUG19491-G06"
"56","CNBFD365-15","BIOUG19495-H02"
"57","CNBFD499-15","BIOUG19552-C06"
"58","CNBFD507-15","BIOUG19552-D02"
"59","CNBFD587-15","BIOUG19553-B11"
"60","CNBFJ238-15","BIOUG20024-C11"
"61","CNBFJ287-15","BIOUG20024-G12"
"62","CNBFJ291-15","BIOUG20024-H04"
"63","CNBFK176-15","BIOUG20097-B10"
"64","CNBFK220-15","BIOUG20097-F06"
"65","CNBFK262-15","BIOUG20165-B01"
"66","CNBFK265-15","BIOUG20165-B04"
